panel,symbol,target,rho,t,n
ETF,DIA,eff_range,0.03691617671212925,1.8448500476134917,2496
ETF,DIA,eff_path,0.030139211158484183,1.5058352036301579,2496
ETF,DIA,eff_vol,0.04442680424307479,2.2208657920087482,2496
ETF,DIA,eff_mfe,-0.01698049565946592,-0.8481276234025021,2496
ETF,DIA,cost_opp_usd,0.5827502467434067,35.811824823288006,2496
ETF,IWM,eff_range,0.020261544310403584,1.0289710686987221,2580
ETF,IWM,eff_path,0.0073388798274754575,0.3726343861598642,2580
ETF,IWM,eff_vol,0.01750053673130575,0.8887085134957122,2580
ETF,IWM,eff_mfe,-0.033496256025688835,-1.7016941258614477,2580
ETF,IWM,cost_opp_usd,0.545120397748031,33.01448259618441,2580
ETF,QQQ,eff_range,0.06469314656251834,3.290987226772926,2579
ETF,QQQ,eff_path,0.0407404743261405,2.0698744690080395,2579
ETF,QQQ,eff_vol,0.057051652209740095,2.9009041457995566,2579
ETF,QQQ,eff_mfe,-0.03236749624582351,-1.6439701594814906,2579
ETF,QQQ,cost_opp_usd,0.5669436007767206,34.93800914253659,2579
ETF,SPY,eff_range,0.054426474891350864,2.768625769201526,2582
ETF,SPY,eff_path,0.04679458983380872,2.3794770143818025,2582
ETF,SPY,eff_vol,0.06036831838176756,3.071932961173485,2582
ETF,SPY,eff_mfe,-0.03207493874988931,-1.6300435406595404,2582
ETF,SPY,cost_opp_usd,0.5983052089840083,37.927540384994856,2582
FUTURES,ES,eff_range,0.0017768979244700306,0.02694803381853953,232
FUTURES,ES,eff_path,0.01313692966793455,0.19924859657419383,232
FUTURES,ES,eff_vol,0.013723142330512464,0.20814135798204786,232
FUTURES,ES,eff_mfe,-0.08886892134416768,-1.353117763545737,232
FUTURES,ES,cost_opp_usd,0.468370409130096,8.039535962915743,232
FUTURES,MES,eff_range,-0.06512127439392108,-0.8483773694020904,171
FUTURES,MES,eff_path,-0.04719562243502052,-0.6142275464530609,171
FUTURES,MES,eff_vol,-0.050421196630426955,-0.6563103550560929,171
FUTURES,MES,eff_mfe,-0.12206429672422622,-1.5987913071278108,171
FUTURES,MES,cost_opp_usd,0.4484634809182667,6.522731832996003,171
FUTURES,MNQ,eff_range,-0.06267549859601124,-0.8163865317309352,171
FUTURES,MNQ,eff_path,-0.039542083663330695,-0.5144494354533183,171
FUTURES,MNQ,eff_vol,-0.03625890992872057,-0.4716759892772457,171
FUTURES,MNQ,eff_mfe,-0.11688626490988074,-1.5300091868920447,171
FUTURES,MNQ,cost_opp_usd,0.40542014591353165,5.765546718111201,171
FUTURES,NQ,eff_range,-0.030157277974356553,-0.4575658818087569,232
FUTURES,NQ,eff_path,-0.025429136499137972,-0.3857766991278112,232
FUTURES,NQ,eff_vol,-0.01700305022785413,-0.25790130690161356,232
FUTURES,NQ,eff_mfe,-0.12826672490354887,-1.961463459168876,232
FUTURES,NQ,cost_opp_usd,0.42257213559986295,7.070966125759355,232
